city,timestamp,temperature,season
New York,2010-01-01,1.9705155574664461,winter
New York,2010-01-02,1.5267299031223658,winter
New York,2010-01-03,2.69299722981887,winter
New York,2010-01-04,2.060708351174724,winter
New York,2010-01-05,-3.2670368044138423,winter
New York,2010-01-06,3.2104077305990564,winter
New York,2010-01-07,-1.4347002215891445,winter
New York,2010-01-08,0.8779664523173223,winter
New York,2010-01-09,-0.4750563196414836,winter
New York,2010-01-10,-15.875309746261383,winter
New York,2010-01-11,-0.08836347854286461,winter
New York,2010-01-12,-12.250217806309784,winter
New York,2010-01-13,1.8984187104179886,winter
New York,2010-01-14,10.165720989862914,winter
New York,2010-01-15,0.4316501832930407,winter
New York,2010-01-16,5.652739433935729,winter
New York,2010-01-17,5.454521967233078,winter
New York,2010-01-18,5.856556181409285,winter
New York,2010-01-19,1.1272600758174418,winter
New York,2010-01-20,2.179185080134242,winter
New York,2010-01-21,5.740240922130418,winter
New York,2010-01-22,0.6080612167419834,winter
New York,2010-01-23,4.730495431702213,winter
New York,2010-01-24,-4.911370844881962,winter
New York,2010-01-25,2.055258804676918,winter
New York,2010-01-26,-0.881746577909567,winter
New York,2010-01-27,1.811552387475929,winter
New York,2010-01-28,1.3137321040049463,winter
New York,2010-01-29,-1.3706505821467552,winter
New York,2010-01-30,-4.989728690803744,winter
New York,2010-01-31,4.416905057597645,winter
New York,2010-02-01,-2.3707932976634307,winter
New York,2010-02-02,2.4121271047813444,winter
New York,2010-02-03,1.049910186702808,winter
New York,2010-02-04,-3.1143198676709765,winter
New York,2010-02-05,-6.941241669516206,winter
New York,2010-02-06,0.6337178793878762,winter
New York,2010-02-07,-2.378827892286552,winter
New York,2010-02-08,-3.0512855134890886,winter
New York,2010-02-09,2.8807231881224027,winter
New York,2010-02-10,-4.324275622011584,winter
New York,2010-02-11,-4.717800192259609,winter
New York,2010-02-12,-3.056094431843444,winter
New York,2010-02-13,8.150984253882399,winter
New York,2010-02-14,-3.0991890898235153,winter
New York,2010-02-15,-3.8303095820934634,winter
New York,2010-02-16,9.91672921069561,winter
New York,2010-02-17,5.853620250609993,winter
New York,2010-02-18,-2.6177631744947965,winter
